name,administrative_unit,last_update,county,status_notes,location,date_started
Mountain Fire ,CDF Riverside Unit/Riverside County FireåÊ,"October 30, 2003 6:00 amåÊ",RiversideåÊ,100%åÊ,Sage AreaåÊ,"October 26, 2003 11:45 amåÊ"
Paradise Fire ,CDF San Diego UnitåÊ,"November 6, 2003 7:00 amåÊ",San DiegoåÊ,100%åÊ,Valley CenteråÊ,"October 26, 2003 1:30 amåÊ"
Cedar Fire ,Cleveland National Forest/CDF San Diego UnitåÊ,"November 5, 2003 6:00 amåÊ",San DiegoåÊ,"273,246 - 100% containedåÊ",Southern San Diego CountyåÊ,"October 25, 2003 5:37 pmåÊ"
Simi Fire ,Ventura CountyåÊ,"November 5, 2003 10:00 amåÊ",VenturaåÊ,100%åÊ,Simi Valley / MoorparkåÊ,"October 25, 2003 2:15 pmåÊ"
Honeydew and Canoe Fires ,CDF Humboldt-Del Norte UnitåÊ,"October 6, 2003 6:00 pmåÊ",HumboldtåÊ,100%åÊ,"King Range, 14 miles north and 15 miles west of GarbervilleåÊ","September 3, 2003 2:00 pmåÊ"
Santa Clara Complex ,CDF Santa Clara UnitåÊ,"September 3, 2003 7:00 pmåÊ",Santa ClaraåÊ,100%åÊ,Mt. Diablo Range between Gilroy and BrentwoodåÊ,"August 25, 2003 10:00 pmåÊ"
Canyon Fire ,CDF Riverside UnitåÊ,"July 29, 2003 7:00 amåÊ",RiversideåÊ,100%åÊ,5 miles west of San JacintoåÊ,"July 25, 2003 1:27 pmåÊ"
Parkhill Fire ,CDF San Luis Obispo UnitåÊ,"July 23, 2003 7:00 amåÊ",San Luis ObispoåÊ,100%åÊ,Hwy 58 and Huer Huero Road/5 miles est of Santa MargaritaåÊ,"July 20, 2003 2:55 pmåÊ"
Coyote Fire ,CDF San Diego UnitåÊ,"July 24, 2003 7:00 pmåÊ",San Diego / RiversideåÊ,100%åÊ,Coyote Canyon at the Riverside/San Diego County lineåÊ,"July 16, 2003 1:19 pmåÊ"
Freds Fire ,El Dorado National ForeståÊ,"November 9, 2004 11:00 amåÊ",El DoradoåÊ,100%åÊ,åÊ,"October 13, 2004 4:15 pmåÊ"
Power Fire ,El Dorado National ForeståÊ,"November 10, 2004 4:00 pmåÊ",El DoradoåÊ,100%åÊ,åÊ,"October 6, 2004 2:11 pmåÊ"
Old Hwy Fire ,CDF Madera-Mariposa-Merced UnitåÊ,"September 15, 2004 7:00 amåÊ",MariposaåÊ,100%åÊ,Town of MariposaåÊ,"September 13, 2004 3:51 pmåÊ"
Pattison Fire ,CDF Tuolumne-Calaveras UnitåÊ,"September 5, 2004 7:00 pmåÊ",CalaverasåÊ,100%åÊ,"Pattison Road, 2 miles north of Burson.åÊ","September 3, 2004 1:39 pmåÊ"
Geysers Fire ,CDF Sonoma-Lake-Napa UnitåÊ,"September 10, 2004 7:00 amåÊ",LakeåÊ,100%åÊ,6 miles northeast of GeyservilleåÊ,"September 3, 2004 5:24 amåÊ"
Bear Fire ,CDF Madera-Mariposa-Merced UnitåÊ,"September 4, 2004 6:00 pmåÊ",MariposaåÊ,100%åÊ,"Mormon Hills Area, 3 miles south of MariposaåÊ","September 2, 2004 12:57 pmåÊ"
French Fire ,CDF Shasta-Trinity UnitåÊ,"August 21, 2004 7:00 pmåÊ",ShastaåÊ,100%åÊ,"Located on both sides of Trinity Mountain Road within and around the community of French Gulch, west of Redding.åÊ","August 14, 2004 2:21 pmåÊ"
Bear Fire ,CDF Shasta-Trinity UnitåÊ,"August 16, 2004 7:00 pmåÊ",ShastaåÊ,100%åÊ,Jones ValleyåÊ,"August 11, 2004 3:29 pmåÊ"
Oregon Fire ,CDF Butte Unit/Butte County FireåÊ,"August 13, 2004 6:00 amåÊ",ButteåÊ,100%åÊ,Oregon Gulch Road at Potters Ranch Road - West side of Lake Oroville near the Community of CherokeeåÊ,"August 11, 2004 1:55 pmåÊ"
Hunt Fire ,CDF Tuolumne-Calaveras UnitåÊ,"August 13, 2004 7:00 amåÊ",CalaverasåÊ,100%åÊ,Hunt Road at Salt Springs Valley Road in CopperopolisåÊ,"August 10, 2004 5:11 pmåÊ"
Stevens Fire ,CDF Nevada-Yuba-Placer UnitåÊ,"August 11, 2004 7:00 pmåÊ",PlaceråÊ,100%åÊ,Northeast of ColfaxåÊ,"August 8, 2004 1:36 pmåÊ"
Calaveras Complex ,CDF Tuolumne-Calaveras UnitåÊ,"August 10, 2004 6:00 pmåÊ",CalaverasåÊ,"Armstrong 100%, Mineral 100%, Copper 100%åÊ",Hwy 4/Hwy 49 Angels CampåÊ,"August 7, 2004 7:00 amåÊ"
Sims FireåÊ,Six Rivers National ForeståÊ,"August 5, 2004 12:41 pmåÊ",TrinityåÊ,100%åÊ,Grouse Creek Northwest of HyampomåÊ,"July 28, 2004 12:00 pmåÊ"
Crown Fire and Foothill FireåÊ,LA County Fire/Angeles National ForeståÊ,"July 23, 2004 7:00 pmåÊ",Los AngelesåÊ,100%åÊ,"Southeast of Acton, Arratre Road south of Soledad Road.åÊ","July 23, 2004 7:00 pmåÊ"
