name,administrative_unit,last_update,county,acres_burned,status_notes,location,date_started,date_only,time_24hh
Cedar Fire ,Cleveland National Forest/CDF San Diego Unit,11/5/03 6:00,San Diego,"273,246","273,246 - 100% contained",Southern San Diego County,10/25/03 17:37,10/25/03,17:37:00
Rush Fire,Bureau of Land Management - Northern California Resource Area,8/30/12 7:30,Lassen County,"271,911","315,577 acres (271,911 acres in CA) - 100% containedThis was NOT a CAL FIRE Incident.** Click the link above for information from the Bureau of Land Management.  ","15 miles SE of Ravendale, California",8/12/12 18:42,8/12/12,18:42:00
Rim Fire,Stanislaus National Forest/Yosemite National Park,9/6/13 18:30,Tuolumne County,"257,314","257,314 acres - 100% contained ***Click the link above for information from the US Forest Service. ***  ",3 miles east of Groveland along Hwy 120,8/17/13 15:25,8/17/13,15:25:00
Zaca Fire ,Los Padres National Forest / Santa Barbara County Fire,9/4/07 8:00,Santa Barbara,"240,207","100% contained - 240,207 acres",15 miles NE of Buellton,7/4/07 10:53,7/4/07,10:53:00
Witch Fire ,CAL FIRE/San Diego County Operational Area,11/6/07 6:00,San Diego County,"197,990","100% contained - 197,990 acres","Witch Creek area, east of Ramona",10/21/07 12:35,10/21/07,12:35:00
Chetco Fire,Rogue River-Siskiyou National Forest,1/9/18 11:52,,"191,125","191,125 acres - 100% contained ***This is not a CAL FIRE incident, Click the following link for more information from Rogue River-Siskiyou National Forest","Chetco River corridor, in the Kalmiopsis Wilderness",7/12/17 13:45,7/12/17,13:45:00
Day Fire,Los Padres National Forest,10/2/06 18:30,Ventura County,"162,702","100% contained - 162,702 acres",Southwest of Pyramid Land at Piru Creek,9/4/06 13:55,9/4/06,13:55:00
Station Fire,Angeles National Forest,10/16/09 19:00,Los Angeles County,"160,577","160,577 acres - 100% contained","Hwy 2, 1.5 miles north of USFS Angeles Crest Station",8/26/09 15:30,8/26/09,15:30:00
Rough Fire ,Sierra National Forest ,11/9/15 12:00,Fresno County ,"151,623","151,623 Acres - 100% contained *** Not a CAL FIRE incident. Click the link for information from the US Forest Service",5 miles North of Hume Lake and 2.5 miles to the southwest of Spanish Mountain 5,7/31/15 19:00,7/31/15,19:00:00
Bar Complex (Pigeon Fire),Shasta - Trinity National Forest ,11/15/06 8:00,Trinity County,"100,414","100% contained - 100,414 acres",North and northwest of Weaverville,7/26/06 17:05,7/26/06,17:05:00
Ferguson Fire,USFS Sierra National Forest ,1/4/19 9:48,Mariposa County,"96,901","96,901 acres - 100% contained *** This is not a CAL FIRE incident. For more information click the link.","Highway 140 and Hite Cove, near El Portal",7/13/18 21:36,7/13/18,21:36:00
