project_name,address,district_no,units,sh_units,status,lon,lat,geoAddress
Reseda Theater Senior Housing (Canby Woods West),7221 N CANBY AVE CA 91335,3,26,13,Already approved,-118.535105,34.2017979,"7221 canby ave, reseda, ca 91335, usa"
Main Street Apartments,5501 S MAIN ST CA 90037,9,57,56,Already approved,-118.274276,33.992203,"5501 s main st, los angeles, ca 90037, usa"
Berendo Sage,1035 S BERENDO ST CA 90006,1,42,21,Already approved,-118.294014,34.051678,"1035 s berendo st, los angeles, ca 90006, usa"
South Main Street Apartments,12003 S MAIN ST CA 90061,15,62,61,Already approved,-118.27425,33.923439,"12003 s main st, los angeles, ca 90061, usa"
Montecito II Senior Housing,6668 W FRANKLIN AVE  HOLLYWOOD CA 90028,13,64,32,Already approved,-118.3352816,34.105027,"6668 franklin ave, los angeles, ca 90028, usa"
923-937 Kenmore Ave,923 S KENMORE AVE CA 90006,10,75,74,Already approved,-118.296832,34.055071,"923 s kenmore ave, los angeles, ca 90006, usa"
1141-1145 Crenshaw Blvd,1141 S CRENSHAW BLVD CA 90019,10,43,42,Already approved,-118.325023,34.051682,"1141 crenshaw blvd, los angeles, ca 90019, usa"
9502 Van Nuys Blvd,9502 N VAN NUYS BLVD CA 91402,6,49,48,Already approved,-118.4496913,34.2430141,"9502 van nuys blvd, panorama city, ca 91402, usa"
Deepwater,1424 N DEEPWATER AVE CA 90744,15,56,55,Already approved,-118.2572796,33.79242869999999,"1424 deepwater ave, wilmington, ca 90744, usa"
Grandview Apartments,714 S GRAND VIEW ST CA 90057,1,100,54,Already approved,-118.2791904,34.0568867,"714 s grand view st, los angeles, ca 90057, usa"
Southside Seniors,1655 W MANCHESTER AVE CA 90047,8,50,36,Already approved,-118.3065166,33.9602426,"1655 w manchester ave, los angeles, ca 90047, usa"
Temple View,3200 W TEMPLE ST CA 90026,13,59,58,Already approved,-118.281577,34.07526,"3200 w temple st, los angeles, ca 90026, usa"
The Brine Residential,1829 N HANCOCK ST CA 90031,1,97,49,Already approved,-118.209144,34.0655242,"1829 hancock st, los angeles, ca 90031, usa"
Washington View Apartments,1912 S BONSALLO AVE CA 90007,1,92,74,Already approved,-118.2752888,34.0354112,"1912 bonsallo ave, los angeles, ca 90007, usa"
The Pointe on La Brea,843 N LA BREA AVE CA 90038,5,50,49,Already approved,-118.344389,34.0865867,"843 n la brea ave, los angeles, ca 90038, usa"
Ingraham Villa Apartments,1218 W INGRAHAM ST CA 90017,1,121,90,Already approved,-118.266065,34.0523049,"1218 ingraham st, los angeles, ca 90017, usa"
Rose Apartments,720 E ROSE AVE CA 90291,11,35,34,Already approved,-118.4687179,34.0006339,"720 rose ave, venice, ca 90291, usa"
Weingart Tower II (HHH PSH 1A),555 1/2 S CROCKER ST CA 90013,14,144,122,Already approved,-118.2517482,34.0334205,"1165 1/3 crocker st #555, los angeles, ca 90021, usa"
Bryson II,2701 W WILSHIRE BLVD CA 90057,1,68,34,Already approved,-118.2824237,34.0615086,"2701 wilshire blvd, los angeles, ca 90057, usa"
Weingart Tower (HHH PSH 1A),555 1/2 S CROCKER ST CA 90013,14,134,106,Already approved,-118.2517482,34.0334205,"1165 1/3 crocker st #555, los angeles, ca 90021, usa"
